Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
28795685,09/01/2014 08:00:00 PM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10456,,,,,EAST 169 STREET,SHERIDAN AVENUE,INTERSECTION,BRONX,,N/A,Open,,,04 BRONX,BRONX,1007821,243863,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.835991468920135,-73.91481854804258,"(40.835991468920135, -73.91481854804258)"
28793495,09/01/2014 11:35:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10472,1556 EAST 172 STREET,EAST 172 STREET,BOYNTON AVENUE,WARD AVENUE,,,ADDRESS,BRONX,,N/A,Open,,,09 BRONX,BRONX,1017976,242185,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8313529045814,-73.87812863942105,"(40.8313529045814, -73.87812863942105)"
28793017,09/01/2014 09:44:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10457,,,,,EAST 173 STREET,WEBSTER AVENUE,INTERSECTION,BRONX,,N/A,Open,,,03 BRONX,BRONX,1010929,246421,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84300358832728,-73.90357661515787,"(40.84300358832728, -73.90357661515787)"
28796816,09/01/2014 09:34:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10457,1710 WEBSTER AVENUE,WEBSTER AVENUE,EAST 173 STREET,EAST 174 STREET,,,ADDRESS,BRONX,,N/A,Open,,,03 BRONX,BRONX,1011023,246634,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84358792612815,-73.90323602974483,"(40.84358792612815, -73.90323602974483)"
28795167,09/01/2014 01:44:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10472,,,,,ELDER AVENUE,WATSON AVENUE,INTERSECTION,BRONX,,N/A,Open,,,09 BRONX,BRONX,1017854,240245,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82602862936386,-73.87857921194824,"(40.82602862936386, -73.87857921194824)"
28795723,09/01/2014 01:40:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10472,1070 ELDER AVENUE,ELDER AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,,,ADDRESS,BRONX,,N/A,Open,,,09 BRONX,BRONX,1017907,239966,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82526265267834,-73.87838910770287,"(40.82526265267834, -73.87838910770287)"
28789989,08/31/2014 09:29:00 PM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10467,679 WARING AVENUE,WARING AVENUE,OLINVILLE AVENUE,WHITE PLAINS ROAD,,,ADDRESS,BRONX,,N/A,Open,,,11 BRONX,BRONX,1020699,253124,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.86136638977537,-73.86822943225765,"(40.86136638977537, -73.86822943225765)"
28789976,08/31/2014 12:09:00 PM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10463,2843 HEATH AVENUE,HEATH AVENUE,WEST KINGSBRIDGE ROAD,WEST 229 STREET,,,ADDRESS,BRONX,,N/A,Open,,,08 BRONX,BRONX,1010812,257629,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.873766520837336,-73.90395506233529,"(40.873766520837336, -73.90395506233529)"
28789912,08/31/2014 11:55:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10455,716 CAULDWELL AVENUE,CAULDWELL AVENUE,WESTCHESTER AVENUE,EAST 156 STREET,,,ADDRESS,BRONX,,N/A,Open,,,01 BRONX,BRONX,1009440,237362,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.81814361783377,-73.90899217879848,"(40.81814361783377, -73.90899217879848)"
28791480,08/31/2014 10:41:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10465,,,,,CROSS BRONX EXPRESSWAY,QUINCY AVENUE,INTERSECTION,BRONX,,N/A,Open,,,10 BRONX,BRONX,1032681,239953,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82515831971714,-73.82500728182606,"(40.82515831971714, -73.82500728182606)"
