SCIMAG/W_IN_S_09,Afghan Civilians Wounded by Insurgents - South (20009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/W_FR_C_08,Afghan Civilians Wounded by Friendly Fire - Capital (2008),,,monthly,2012-01-02
SCIMAG/W_FR_S_10,Afghan Civilians Wounded by Friendly Fire - South (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/W_FR_S_08,Afghan Civilians Wounded by Friendly Fire - South (20008),2008-01-01,2008-12-01,monthly,2014-01-08
SCIMAG/W_IN_W_09,Afghan Civilians Wounded by Insurgents - West (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/K_FR_C_09,Afghan Civilians Killed by Friendly Fire  - Capital (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/K_FR_S_10,Afghan Civilians Killed by Friendly Fire  - South (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/W_IN_W_10,Afghan Civilians Wounded by Insurgents - West (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/K_FR_E_08,Afghan Civilians Killed by Friendly Fire  - East (2008),2008-01-01,2008-12-01,monthly,2014-01-08
SCIMAG/K_FR_S_08,Afghan Civilians Killed by Friendly Fire  - South (2008),2008-01-01,2008-12-01,monthly,2014-01-08
SCIMAG/K_FR_C_10,Afghan Civilians Killed by Friendly Fire  - Capital (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/K_FR_W_08,Afghan Civilians Killed by Friendly Fire  - West (2008),2008-01-01,2008-12-01,monthly,2014-01-08
SCIMAG/K_IN_S_10,Afghan Civilians Killed by Insurgents  - South (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/W_IN_S_10,Afghan Civilians Wounded by Insurgents - South (20010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/W_FR_N_09,Afghan Civilians Wounded by Friendly Fire - North (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/W_IN_A_09,Afghan Civilians Wounded by Insurgets  - South-West (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/W_IN_E_10,Afghan Civilians Wounded by Insurgents - East (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/W_IN_E_09,Afghan Civilians Wounded by Insurgents - East (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/K_IN_N_10,Afghan Civilians Killed by Insurgents  - North (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/K_FR_A_10,Afghan Civilians Killed by Friendly Fire  - South-West (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/W_FR_S_09,Afghan Civilians Wounded by Friendly Fire - South (20009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/W_IN_N_10,Afghan Civilians Wounded by Insurgents - North (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/W_FR_W_09,Afghan Civilians Wounded by Friendly Fire - West (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/K_IN_E_09,Afghan Civilians Killed by Insurgents  - East (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/W_FR_A_10,Afghan Civilians Wounded by Friendly Fire - South-West (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/K_FR_E_09,Afghan Civilians Killed by Friendly Fire  - East (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/W_IN_C_09,Afghan Civilians Wounded by Insurgents - Capital (2009),2009-02-01,2009-12-01,monthly,2014-01-08
SCIMAG/K_IN_E_10,Afghan Civilians Killed by Insurgents  - East (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/K_FR_A_09,Afghan Civilians Killed by Friendly Fire  - South-West (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/K_IN_C_10,Afghan Civilians Killed by Insurgents  - Capital (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/K_FR_W_10,Afghan Civilians Killed by Friendly Fire  - West (2010),2010-01-01,2010-12-01,monthly,2014-01-08
SCIMAG/K_IN_C_09,Afghan Civilians Killed by Insurgents  - Capital (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/W_FR_E_09,Afghan Civilians Wounded by Friendly Fire - East (2009),2009-01-01,2009-12-01,monthly,2014-01-08
SCIMAG/K_FR_N_10,Afghan Civilians Killed by Friendly Fire  - North (2010),2010-01-01,2010-12-01,monthly,2014-01-08
