,Position_Title,Department,Employee_Annual_Salary
0,WATER RATE TAKER,WATER MGMNT,87228.0
1,POLICE OFFICER,POLICE,75372.0
2,POLICE OFFICER,POLICE,75372.0
3,CHIEF CONTRACT EXPEDITER,GENERAL SERVICES,80916.0
4,CIVIL ENGINEER IV,WATER MGMNT,99648.0
5,ASST TO THE ALDERMAN,CITY COUNCIL,70764.0
6,GENERAL LABORER - DSS,STREETS & SAN,40560.0
7,ELECTRICAL MECHANIC,AVIATION,89440.0
8,FIRE ENGINEER,FIRE,84396.0
9,POLICE OFFICER,POLICE,80724.0
10,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
11,CLERK III,POLICE,41784.0
12,INVESTIGATOR - IPRA II,IPRA,65808.0
13,POLICE OFFICER,POLICE,65016.0
14,POLICE OFFICER,POLICE,75372.0
15,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,90738.0
16,POLICE OFFICER,POLICE,75372.0
17,PARAMEDIC I/C,FIRE,81672.0
18,ENGINEERING TECHNICIAN VI,WATER MGMNT,96384.0
19,LEGISLATIVE AIDE,CITY COUNCIL,25008.0
20,FIREFIGHTER-EMT,FIRE,84762.0
21,LIEUTENANT,FIRE,102978.0
22,CROSSING GUARD,POLICE,16525.6
23,ELECTRICAL MECHANIC-AUTO-POLICE MTR MNT,GENERAL SERVICES,89440.0
24,GENERAL LABORER - DSS,STREETS & SAN,40560.0
25,POLICE OFFICER,POLICE,78012.0
26,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
27,SENIOR PROGRAMMER/ANALYST,FAMILY & SUPPORT,99648.0
28,CIVIL ENGINEER IV,WATER MGMNT,99648.0
29,ENGINEERING TECHNICIAN V,BUSINESS AFFAIRS,91980.0
30,POLICE OFFICER,POLICE,43104.0
31,SUPERVISING TRAFFIC CONTROL AIDE,OEMC,55248.0
32,SANITATION LABORER,STREETS & SAN,70969.6
33,POLICE OFFICER,POLICE,86130.0
34,AMBULANCE COMMANDER,FIRE,115644.0
35,FIREFIGHTER-EMT,FIRE,79140.0
36,SEWER BRICKLAYER,WATER MGMNT,86486.4
37,TREE TRIMMER,STREETS & SAN,73008.0
38,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,93288.0
39,PERSONAL COMPUTER OPERATOR II,HEALTH,57828.0
40,FIREFIGHTER-EMT,FIRE,84762.0
41,SENIOR COMPANION,FAMILY & SUPPORT,2756.0
42,POLICE OFFICER,POLICE,80724.0
43,ELECTRICAL MECHANIC,AVIATION,89440.0
44,POLICE OFFICER,POLICE,80724.0
45,SENIOR ENVIRONMENTAL INSPECTOR,HEALTH,69648.0
46,CIVIL ENGINEER II,WATER MGMNT,83640.0
47,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,84756.0
48,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
49,CONSTRUCTION LABORER,WATER MGMNT,76960.0
50,POLICE OFFICER,POLICE,75372.0
51,POLICE OFFICER,POLICE,86130.0
52,POLICE OFFICER,POLICE,78012.0
53,DIVISION SUPERINTENDENT,STREETS & SAN,102246.0
54,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
55,ADMINISTRATIVE ASST,MAYOR'S OFFICE,48000.0
56,POLICE OFFICER,POLICE,71748.0
57,POLICE OFFICER,POLICE,75372.0
58,POLICE OFFICER,POLICE,80724.0
59,POLICE OFFICER,POLICE,86130.0
60,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,60600.0
61,POLICE OFFICER,POLICE,78012.0
62,FIREFIGHTER,FIRE,83982.0
63,LIEUTENANT-EMT,FIRE,108132.0
64,POLICE OFFICER,POLICE,61530.0
65,POLICE OFFICER,POLICE,71748.0
66,POLICE OFFICER,POLICE,78012.0
67,ASPHALT LABORER,TRANSPORTN,76960.0
68,POLICE OFFICER,POLICE,80724.0
69,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
70,MOTOR TRUCK DRIVER,GENERAL SERVICES,70408.0
71,FIREFIGHTER,FIRE,80724.0
72,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
73,SENIOR PUBLIC INFORMATION OFFICER,BUSINESS AFFAIRS,84780.0
74,POLICE OFFICER,POLICE,80724.0
75,AVIATION SECURITY OFFICER,AVIATION,63552.0
76,POLICE OFFICER,POLICE,78012.0
77,POLICE OFFICER,POLICE,78012.0
78,POLICE OFFICER,POLICE,78012.0
79,POLICE OFFICER,POLICE,80724.0
80,ASST CORPORATION COUNSEL SUPVSR,LAW,91068.0
81,POLICE OFFICER,POLICE,80724.0
82,FIREFIGHTER-EMT,FIRE,84762.0
83,CROSSING GUARD,POLICE,16525.6
84,POLICE OFFICER,POLICE,80724.0
85,POLICE OFFICER,POLICE,78012.0
86,LIBRARY ASSOCIATE,PUBLIC LIBRARY,62916.0
87,POLICE OFFICER,POLICE,80724.0
88,SANITATION LABORER,STREETS & SAN,70969.6
89,PARKING ENFORCEMENT AIDE,AVIATION,55248.0
90,CONSTRUCTION LABORER,GENERAL SERVICES,76960.0
91,POLICE OFFICER,POLICE,71748.0
92,ASST CORPORATION COUNSEL,LAW,70380.0
93,POLICE OFFICER,POLICE,78012.0
94,SANITATION LABORER,STREETS & SAN,70969.6
95,BOOTER - PARKING,FINANCE,63440.0
96,FIREFIGHTER,FIRE,83982.0
97,CUSTODIAL WORKER,AVIATION,41537.6
98,POLICE OFFICER,POLICE,78012.0
99,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
100,PARAMEDIC I/C,FIRE,81672.0
101,MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
102,POLICE OFFICER,POLICE,86130.0
103,FIREFIGHTER-EMT,FIRE,79140.0
104,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
105,FOREMAN OF MOTOR TRUCK DRIVERS,STREETS & SAN,74276.8
106,POLICE OFFICER,POLICE,83706.0
107,POLICE OFFICER,POLICE,80724.0
108,SPECIAL EVENTS COORD III,CULTURAL AFFAIRS,77280.0
109,LIBRARIAN I - HOURLY,PUBLIC LIBRARY,26041.6
110,PROGRAM DEVELOPMENT COORD,HEALTH,54492.0
111,CLINICAL THERAPIST III,POLICE,91224.0
112,POLICE OFFICER,POLICE,75372.0
113,CROSSING GUARD,POLICE,18148.0
114,ASPHALT LABORER,TRANSPORTN,76960.0
115,DATA ENTRY OPERATOR,WATER MGMNT,45828.0
116,SANITATION LABORER,STREETS & SAN,70969.6
117,AVIATION SECURITY OFFICER,AVIATION,60648.0
118,ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,66492.0
119,CONCRETE LABORER,TRANSPORTN,76960.0
120,POLICE OFFICER,POLICE,83706.0
121,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
122,POLICE OFFICER,POLICE,80724.0
123,FIREFIGHTER-EMT,FIRE,79140.0
124,POLICE OFFICER,POLICE,78012.0
125,POLICE OFFICER,POLICE,65016.0
126,ACCOUNTING TECHNICIAN II,COMMUNITY DEVELOPMENT,57828.0
127,LIBRARY PAGE,PUBLIC LIBRARY,11627.2
128,ELECTRICAL MECHANIC,GENERAL SERVICES,89440.0
129,PROPERTY CUSTODIAN,POLICE,60600.0
130,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
131,WATCHMAN,GENERAL SERVICES,43097.6
132,LEGAL SECRETARY,LAW,72936.0
133,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
134,INFORMATION COORD,HEALTH,63516.0
135,LIEUTENANT-EMT,FIRE,101484.0
136,PLUMBING INSPECTOR,BUILDINGS,98028.0
137,VENTILATION AND FURNACE INSPECTOR,BUILDINGS,92580.84
138,POLICE OFFICER,POLICE,71748.0
139,LIBRARIAN IV,PUBLIC LIBRARY,82812.0
140,SUPVSR OF COMPENSATION,BUSINESS AFFAIRS,88812.0
141,CIVIL ENGINEER IV,TRANSPORTN,99648.0
