Date,coal,natural gas,solar energy
2004-01-04 - 2004-01-10,40,34,14
2004-01-11 - 2004-01-17,40,40,15
2004-01-18 - 2004-01-24,41,36,16
2004-01-25 - 2004-01-31,41,37,16
2004-02-01 - 2004-02-07,47,34,16
2004-02-08 - 2004-02-14,45,35,16
2004-02-15 - 2004-02-21,45,35,16
2004-02-22 - 2004-02-28,45,37,17
2004-02-29 - 2004-03-06,43,34,17
2004-03-07 - 2004-03-13,33,39,16
2004-03-14 - 2004-03-20,43,31,16
2004-03-21 - 2004-03-27,42,33,15
2004-03-28 - 2004-04-03,41,33,17
2004-04-04 - 2004-04-10,38,29,12
2004-04-11 - 2004-04-17,42,34,16
2004-04-18 - 2004-04-24,39,34,16
2004-04-25 - 2004-05-01,44,35,18
2004-05-02 - 2004-05-08,43,33,18
2004-05-09 - 2004-05-15,43,37,18
2004-05-16 - 2004-05-22,40,37,18
2004-05-23 - 2004-05-29,43,35,17
2004-05-30 - 2004-06-05,37,39,18
2004-06-06 - 2004-06-12,41,33,13
2004-06-13 - 2004-06-19,34,32,12
2004-06-20 - 2004-06-26,36,31,12
2004-06-27 - 2004-07-03,34,28,10
2004-07-04 - 2004-07-10,33,30,10
2004-07-11 - 2004-07-17,34,35,11
2004-07-18 - 2004-07-24,38,34,10
2004-07-25 - 2004-07-31,33,32,11
2004-08-01 - 2004-08-07,37,34,10
2004-08-08 - 2004-08-14,39,34,11
2004-08-15 - 2004-08-21,37,35,13
2004-08-22 - 2004-08-28,40,33,12
2004-08-29 - 2004-09-04,36,33,11
2004-09-05 - 2004-09-11,38,33,13
2004-09-12 - 2004-09-18,41,34,11
2004-09-19 - 2004-09-25,38,36,14
2004-09-26 - 2004-10-02,41,40,14
2004-10-03 - 2004-10-09,41,41,14
2004-10-10 - 2004-10-16,42,38,16
2004-10-17 - 2004-10-23,44,38,14
2004-10-24 - 2004-10-30,43,41,15
2004-10-31 - 2004-11-06,43,38,14
2004-11-07 - 2004-11-13,40,36,15
2004-11-14 - 2004-11-20,48,42,17
2004-11-21 - 2004-11-27,43,34,15
2004-11-28 - 2004-12-04,45,35,16
2004-12-05 - 2004-12-11,47,32,13
2004-12-12 - 2004-12-18,42,31,13
2004-12-19 - 2004-12-25,36,27,8
2004-12-26 - 2005-01-01,28,27,7
2005-01-02 - 2005-01-08,36,33,11
2005-01-09 - 2005-01-15,39,36,12
2005-01-16 - 2005-01-22,38,35,13
2005-01-23 - 2005-01-29,40,34,15
2005-01-30 - 2005-02-05,41,33,12
2005-02-06 - 2005-02-12,45,36,14
2005-02-13 - 2005-02-19,40,35,16
2005-02-20 - 2005-02-26,45,33,15
2005-02-27 - 2005-03-05,42,36,14
2005-03-06 - 2005-03-12,42,32,14
2005-03-13 - 2005-03-19,42,33,15
2005-03-20 - 2005-03-26,39,27,12
2005-03-27 - 2005-04-02,35,34,14
2005-04-03 - 2005-04-09,41,32,13
2005-04-10 - 2005-04-16,39,34,15
2005-04-17 - 2005-04-23,41,34,15
2005-04-24 - 2005-04-30,41,37,15
2005-05-01 - 2005-05-07,42,31,17
2005-05-08 - 2005-05-14,41,32,15
2005-05-15 - 2005-05-21,40,33,15
2005-05-22 - 2005-05-28,41,33,15
2005-05-29 - 2005-06-04,35,33,13
2005-06-05 - 2005-06-11,37,30,13
2005-06-12 - 2005-06-18,37,33,11
2005-06-19 - 2005-06-25,38,30,12
2005-06-26 - 2005-07-02,35,32,10
2005-07-03 - 2005-07-09,30,30,10
2005-07-10 - 2005-07-16,35,28,10
2005-07-17 - 2005-07-23,33,29,11
2005-07-24 - 2005-07-30,34,28,10
2005-07-31 - 2005-08-06,34,29,10
2005-08-07 - 2005-08-13,42,36,12
2005-08-14 - 2005-08-20,34,33,11
2005-08-21 - 2005-08-27,37,33,12
2005-08-28 - 2005-09-03,37,45,16
2005-09-04 - 2005-09-10,38,51,14
2005-09-11 - 2005-09-17,39,41,16
2005-09-18 - 2005-09-24,42,46,14
2005-09-25 - 2005-10-01,44,48,16
2005-10-02 - 2005-10-08,47,51,18
2005-10-09 - 2005-10-15,46,47,15
2005-10-16 - 2005-10-22,48,45,15
2005-10-23 - 2005-10-29,43,46,16
2005-10-30 - 2005-11-05,42,43,15
2005-11-06 - 2005-11-12,43,37,14
2005-11-13 - 2005-11-19,45,42,15
2005-11-20 - 2005-11-26,39,38,12
2005-11-27 - 2005-12-03,45,41,15
2005-12-04 - 2005-12-10,45,41,14
2005-12-11 - 2005-12-17,44,41,12
2005-12-18 - 2005-12-24,39,34,9
2005-12-25 - 2005-12-31,30,34,7
2006-01-01 - 2006-01-07,100,41,11
2006-01-08 - 2006-01-14,51,40,13
2006-01-15 - 2006-01-21,49,40,13
2006-01-22 - 2006-01-28,48,39,12
2006-01-29 - 2006-02-04,47,41,15
2006-02-05 - 2006-02-11,40,36,15
2006-02-12 - 2006-02-18,39,36,14
2006-02-19 - 2006-02-25,41,38,15
2006-02-26 - 2006-03-04,45,37,16
2006-03-05 - 2006-03-11,42,36,14
2006-03-12 - 2006-03-18,39,33,14
2006-03-19 - 2006-03-25,37,35,14
2006-03-26 - 2006-04-01,37,32,13
2006-04-02 - 2006-04-08,37,32,14
2006-04-09 - 2006-04-15,37,28,13
2006-04-16 - 2006-04-22,39,34,15
2006-04-23 - 2006-04-29,42,35,17
2006-04-30 - 2006-05-06,39,35,16
2006-05-07 - 2006-05-13,39,32,16
2006-05-14 - 2006-05-20,39,35,16
2006-05-21 - 2006-05-27,37,34,13
2006-05-28 - 2006-06-03,34,33,12
2006-06-04 - 2006-06-10,35,34,13
2006-06-11 - 2006-06-17,35,34,11
2006-06-18 - 2006-06-24,33,29,10
2006-06-25 - 2006-07-01,29,29,9
2006-07-02 - 2006-07-08,30,28,9
2006-07-09 - 2006-07-15,31,30,10
2006-07-16 - 2006-07-22,33,31,12
2006-07-23 - 2006-07-29,34,32,11
2006-07-30 - 2006-08-05,33,32,12
2006-08-06 - 2006-08-12,32,28,10
2006-08-13 - 2006-08-19,34,28,10
2006-08-20 - 2006-08-26,35,25,10
2006-08-27 - 2006-09-02,34,30,11
2006-09-03 - 2006-09-09,33,28,11
2006-09-10 - 2006-09-16,38,31,11
2006-09-17 - 2006-09-23,34,37,11
2006-09-24 - 2006-09-30,35,37,11
2006-10-01 - 2006-10-07,35,35,11
2006-10-08 - 2006-10-14,36,32,11
2006-10-15 - 2006-10-21,36,32,13
2006-10-22 - 2006-10-28,38,34,12
2006-10-29 - 2006-11-04,37,34,13
2006-11-05 - 2006-11-11,36,29,12
2006-11-12 - 2006-11-18,38,30,13
2006-11-19 - 2006-11-25,34,27,11
2006-11-26 - 2006-12-02,38,31,11
2006-12-03 - 2006-12-09,40,27,12
2006-12-10 - 2006-12-16,36,26,11
2006-12-17 - 2006-12-23,34,26,9
2006-12-24 - 2006-12-30,26,23,6
2006-12-31 - 2007-01-06,29,24,9
2007-01-07 - 2007-01-13,34,31,11
2007-01-14 - 2007-01-20,33,30,11
2007-01-21 - 2007-01-27,35,29,13
2007-01-28 - 2007-02-03,34,29,11
2007-02-04 - 2007-02-10,37,27,13
2007-02-11 - 2007-02-17,33,28,12
2007-02-18 - 2007-02-24,35,27,12
2007-02-25 - 2007-03-03,36,27,13
2007-03-04 - 2007-03-10,35,27,14
2007-03-11 - 2007-03-17,34,24,13
2007-03-18 - 2007-03-24,34,25,13
2007-03-25 - 2007-03-31,32,26,13
2007-04-01 - 2007-04-07,32,24,12
2007-04-08 - 2007-04-14,31,27,14
2007-04-15 - 2007-04-21,33,28,15
2007-04-22 - 2007-04-28,34,26,16
2007-04-29 - 2007-05-05,34,28,16
2007-05-06 - 2007-05-12,32,28,16
2007-05-13 - 2007-05-19,34,28,15
2007-05-20 - 2007-05-26,33,29,15
2007-05-27 - 2007-06-02,31,28,12
2007-06-03 - 2007-06-09,33,27,13
2007-06-10 - 2007-06-16,33,26,12
2007-06-17 - 2007-06-23,30,24,10
2007-06-24 - 2007-06-30,28,25,9
2007-07-01 - 2007-07-07,28,23,9
2007-07-08 - 2007-07-14,30,27,11
2007-07-15 - 2007-07-21,30,26,9
2007-07-22 - 2007-07-28,29,26,9
2007-07-29 - 2007-08-04,29,24,9
2007-08-05 - 2007-08-11,37,24,10
2007-08-12 - 2007-08-18,37,24,9
2007-08-19 - 2007-08-25,35,25,10
2007-08-26 - 2007-09-01,31,24,10
2007-09-02 - 2007-09-08,31,23,10
2007-09-09 - 2007-09-15,32,26,10
2007-09-16 - 2007-09-22,33,30,11
2007-09-23 - 2007-09-29,32,28,11
2007-09-30 - 2007-10-06,30,27,13
2007-10-07 - 2007-10-13,34,26,12
2007-10-14 - 2007-10-20,32,27,12
2007-10-21 - 2007-10-27,34,25,14
2007-10-28 - 2007-11-03,37,30,15
2007-11-04 - 2007-11-10,37,30,16
2007-11-11 - 2007-11-17,38,29,16
2007-11-18 - 2007-11-24,34,27,12
2007-11-25 - 2007-12-01,37,30,15
2007-12-02 - 2007-12-08,37,27,15
2007-12-09 - 2007-12-15,36,26,12
2007-12-16 - 2007-12-22,31,25,11
2007-12-23 - 2007-12-29,24,18,8
2007-12-30 - 2008-01-05,29,24,11
2008-01-06 - 2008-01-12,31,26,13
2008-01-13 - 2008-01-19,34,27,13
2008-01-20 - 2008-01-26,33,28,13
2008-01-27 - 2008-02-02,34,26,12
2008-02-03 - 2008-02-09,37,26,13
2008-02-10 - 2008-02-16,36,27,13
2008-02-17 - 2008-02-23,35,28,13
2008-02-24 - 2008-03-01,35,27,14
2008-03-02 - 2008-03-08,35,29,14
2008-03-09 - 2008-03-15,32,27,14
2008-03-16 - 2008-03-22,32,24,13
2008-03-23 - 2008-03-29,32,26,14
2008-03-30 - 2008-04-05,35,29,15
2008-04-06 - 2008-04-12,35,27,15
2008-04-13 - 2008-04-19,33,30,16
2008-04-20 - 2008-04-26,37,31,18
2008-04-27 - 2008-05-03,38,30,18
2008-05-04 - 2008-05-10,38,34,17
2008-05-11 - 2008-05-17,37,33,17
2008-05-18 - 2008-05-24,39,33,16
2008-05-25 - 2008-05-31,36,34,16
2008-06-01 - 2008-06-07,37,35,16
2008-06-08 - 2008-06-14,35,34,15
2008-06-15 - 2008-06-21,36,32,14
2008-06-22 - 2008-06-28,36,31,14
2008-06-29 - 2008-07-05,36,29,13
2008-07-06 - 2008-07-12,35,34,13
2008-07-13 - 2008-07-19,35,36,15
2008-07-20 - 2008-07-26,35,35,15
2008-07-27 - 2008-08-02,36,34,14
2008-08-03 - 2008-08-09,35,31,13
2008-08-10 - 2008-08-16,35,29,12
2008-08-17 - 2008-08-23,33,29,11
2008-08-24 - 2008-08-30,33,32,12
2008-08-31 - 2008-09-06,34,39,12
2008-09-07 - 2008-09-13,36,39,13
